round,price_now,next_price,price_change_pct,scenario_pair_id,scenario_pair_name,news_sentiment,fundamental_signal,crowd_direction,crowd_strength,news_frame_type,news_salience,media_intensity,action,trade_size,size_level,size_pct,cash_before,shares_before,shares_after,shares_traded,cash_after,avg_cost_before,avg_cost_after,portfolio_value_start,portfolio_value_end,portfolio_value,portfolio_round_return,portfolio_return,round_return,total_return,unrealized_return,unrealized_return_before,unrealized_return_after,position_weight_after
1,100.0,106.2,0.062,G1,Overconfidence Setup Pair,positive,good,buy,2,neutral,2,2,buy,high,3,0.75,100000.0,0,750,750,25000.0,0.0,100.0,100000.0,104650.0,104650.0,0.0465,0.0465,0.0465,0.0465,0.0,0.0,0.06200000000000003,0.7611084567606307
2,106.2,110.24,0.038,G1,Overconfidence Setup Pair,positive,good,sell,4,neutral,3,3,buy,all_in,4,1.0,25000.0,750,985,235,43.0,100.0,101.47918781725889,104650.0,108629.4,108629.4,0.0380258002866698,0.08629399999999994,0.0380258002866698,0.08629399999999994,0.06200000000000003,0.06200000000000003,0.08633112238262441,0.9996041587268272
3,110.24,102.08,-0.074,G3,Loss Aversion & Disposition Pair,negative,weak,sell,4,negative_spin,4,4,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,108629.4,100591.8,100591.8,-0.07399101900590441,0.005918000000000029,-0.07399101900590441,0.005918000000000029,0.08633112238262441,0.08633112238262441,0.0059205458347088465,0.999572529768828
4,102.08,105.24,0.031,G3,Loss Aversion & Disposition Pair,neutral,neutral,none,2,neutral,3,3,sell,all_in,4,1.0,43.0,985,0,985,100591.8,101.47918781725889,0.0,100591.8,100591.8,100591.8,0.0,0.005918000000000029,0.0,0.005918000000000029,0.0059205458347088465,0.0059205458347088465,0.0,0.0
5,105.24,102.4,-0.027,G2,Herding Scenario,positive,neutral,buy,5,neutral,4,4,hold,none,0,0.0,100591.8,0,0,0,100591.8,0.0,0.0,100591.8,100591.8,100591.8,0.0,0.005918000000000029,0.0,0.005918000000000029,0.0,0.0,0.0,0.0
6,102.4,99.94,-0.024,G4,Framing Scenario,positive,weak,buy,2,positive_spin,4,3,buy,all_in,4,1.0,100591.8,0,982,982,35.0,0.0,102.4,100591.8,98176.08,98176.08,-0.024015078763875396,-0.018239199999999983,-0.024015078763875396,-0.018239199999999983,0.0,0.0,-0.024023437500000078,0.9996434976829387
7,99.94,97.34,-0.026,G5,Availability Pair,positive,neutral,buy,4,positive_spin,5,5,sell,medium,2,0.5,35.0,982,491,491,49105.54,102.4,102.4,98176.08,96899.48000000001,96899.48000000001,-0.013003167370300293,-0.031005199999999896,-0.013003167370300293,-0.031005199999999896,-0.024023437500000078,-0.024023437500000078,-0.04941406250000002,0.4932321618237786
8,97.34,99.58,0.023,G5,Availability Pair,negative,neutral,sell,5,negative_spin,5,5,sell,all_in,4,1.0,49105.54,491,0,491,96899.48000000001,102.4,0.0,96899.48000000001,96899.48000000001,96899.48000000001,0.0,-0.031005199999999896,0.0,-0.031005199999999896,-0.04941406250000002,-0.04941406250000002,0.0,0.0
